# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:30 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 41417
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2023-10-24T00:01:47Z,,,,,,0,,,,,,,,,,,,,
2023-10-24T00:01:49Z,,,,,,,0,,,,,,,,,,,,
2023-10-24T00:05:27Z,10.563261,,,,,,,,,,,,,,,,,,
2023-10-24T00:05:28Z,,,33.693172,72587,,,,,,,,,,,,,,,
2023-10-24T00:05:29Z,,,,,40261,,,,,,,,,,,,,,
2023-10-24T00:05:33Z,,,,,,,,,,1,,,,,,,,,
2023-10-24T00:05:34Z,,,,,,,,1,,,,,,,,,,,
2023-10-24T00:05:35Z,,,,,,,,,2,,,,,,,,1,,
2023-10-24T00:05:36Z,,,,,,,,,,,,,,,,,,1,
2023-10-24T00:05:37Z,,,,,,,,,,,,,,,,,,,2
2023-10-24T00:05:38Z,,,,,,,,,,,333,,,,,,,,
2023-10-24T00:05:39Z,,,,,,,,,,,,84,4,,,,,,
2023-10-24T00:05:40Z,,,,,,,,,,,,,,2,,,,,
2023-10-24T00:05:42Z,,,,,,,,,,,,,,,,0,,,
2023-10-24T00:08:52Z,,,,,,0,,,,,,,,,,,,,
2023-10-24T00:08:54Z,,,,,,,0,,,,,,,,,,,,
2023-10-24T00:12:35Z,9.969684,,,,,,,,,,,,,,,,,,
2023-10-24T00:12:36Z,,,,72595,,,,,,,,,,,,,,,
2023-10-24T00:12:37Z,,,35.218754,,39320,,,,,,,,,,,,,,
2023-10-24T00:12:41Z,,,,,,,,,,0,,,,,,,,,
2023-10-24T00:12:42Z,,,,,,,,0,,,,,,,,,,,
2023-10-24T00:12:43Z,,,,,,,,,2,,,,,,,,,,
2023-10-24T00:12:44Z,,,,,,,,,,,,,,,,,0,0,
2023-10-24T00:12:45Z,,,,,,,,,,,,,,,,,,,2
2023-10-24T00:12:46Z,,,,,,,,,,,204,,,,,,,,
2023-10-24T00:12:47Z,,,,,,,,,,,,64,,,,,,,
2023-10-24T00:12:48Z,,,,,,,,,,,,,2,2,,,,,
2023-10-24T00:12:50Z,,,,,,,,,,,,,,,,0,,,
2023-10-24T00:15:56Z,,,,,,0,,,,,,,,,,,,,
2023-10-24T00:15:58Z,,,,,,,0,,,,,,,,,,,,
2023-10-24T00:19:43Z,9.365324,,,,,,,,,,,,,,,,,,
2023-10-24T00:19:44Z,,,,72597,,,,,,,,,,,,,,,
2023-10-24T00:19:45Z,,,35.080803,,,,,,,,,,,,,,,,
2023-10-24T00:19:46Z,,,,,39468,,,,,,,,,,,,,,
2023-10-24T00:19:50Z,,,,,,,,0,,0,,,,,,,,,
2023-10-24T00:19:51Z,,,,,,,,,0,,,,,,,,,,
2023-10-24T00:19:52Z,,,,,,,,,,,,,,,,,0,,
2023-10-24T00:19:53Z,,,,,,,,,,,,,,,,,,0,
2023-10-24T00:19:54Z,,,,,,,,,,,207,,,,,,,,0
2023-10-24T00:19:55Z,,,,,,,,,,,,67,,,,,,,
2023-10-24T00:19:56Z,,,,,,,,,,,,,6,,,,,,
2023-10-24T00:19:57Z,,,,,,,,,,,,,,0,,,,,
2023-10-24T00:19:58Z,,,,,,,,,,,,,,,,0,,,
2023-10-24T00:23:06Z,,,,,,0,,,,,,,,,,,,,
2023-10-24T00:23:12Z,,,,,,,0,,,,,,,,,,,,
2023-10-24T00:26:52Z,8.806969,,,72599,,,,,,,,,,,,,,,
2023-10-24T00:26:53Z,,,36.045563,,,,,,,,,,,,,,,,
2023-10-24T00:26:54Z,,,,,39394,,,,,,,,,,,,,,
2023-10-24T00:26:58Z,,,,,,,,,,0,,,,,,,,,
2023-10-24T00:26:59Z,,,,,,,,1,1,,,,,,,,,,
2023-10-24T00:27:00Z,,,,,,,,,,,,,,,,,0,,
2023-10-24T00:27:01Z,,,,,,,,,,,,,,,,,,1,
2023-10-24T00:27:02Z,,,,,,,,,,,,,,,,,,,1
2023-10-24T00:27:03Z,,,,,,,,,,,171,50,,,,,,,
2023-10-24T00:27:04Z,,,,,,,,,,,,,6,,,,,,
2023-10-24T00:27:05Z,,,,,,,,,,,,,,0,,,,,
2023-10-24T00:27:06Z,,,,,,,,,,,,,,,,0,,,
2023-10-24T00:30:12Z,,,,,,0,,,,,,,,,,,,,
2023-10-24T00:34:00Z,8.724802,,,,,,,,,,,,,,,,,,
2023-10-24T00:34:01Z,,,35.856995,72605,,,,,,,,,,,,,,,
2023-10-24T00:34:02Z,,,,,40533,,,,,,,,,,,,,,
2023-10-24T00:34:06Z,,,,,,,,,,0,,,,,,,,,
2023-10-24T00:34:07Z,,,,,,,,0,,,,,,,,,,,
2023-10-24T00:34:08Z,,,,,,,,,0,,,,,,,,,,
2023-10-24T00:34:09Z,,,,,,,,,,,,,,,,,0,0,
2023-10-24T00:37:18Z,,,,,,0,,,,,,,,,,,,,
